Medium,Before FISH  Genus,Before FISH Family,After FISH Genus,After FISH Family
M269,,,Bacillus ferooxidans,Bacillaceae
M269,Streptacidiphilus neutrinimicus,Streptomycetaceae,Streptomyces fuscigenes,Streptomycetaceae
M269,Streptacidiphilus durhamensis,Streptomycetaceae,Bacillus salipaludis,Bacillaceae
M269,Streptacidiphilus durhamensis,Streptomycetaceae,Neobacillus pocheonensis,Bacillaceae
M269,Leifsonia lichenia,Microbacteriaceae,Bacillus salipaludis,Bacillaceae
M269,Pararobbsia silviterrae,Burkholderiaceae,Neobacillus massiliamazoniensis,Bacillaceae
M269,Paraburkholderia nemoris,Burkholderiaceae,Bacillus salipaludis,Bacillaceae
M269,Streptacidiphilus durhamensis,Streptomycetaceae,Actinospica acidiphila,Actinosynnemataceae
M269,Streptacidiphilus albus,Streptomycetaceae,Streptomyces fuscigenes,Streptomycetaceae
M269,Leifsonia lichenia,Microbacteriaceae,Streptomyces camponoticapitis,Streptomycetaceae
M269,Streptacidiphilus durhamensis,Streptomycetaceae,Actinospica acidiphila,Actinosynnemataceae
M269,Rahnella victoriana,Enterobacteriaceae,Actinospica acidiphila,Actinosynnemataceae
LB10,Pseudomonas protegens,Pseudomonadaceae,Bacillus mycoides,Bacillaceae
LB10,Kitasatospora herbaricolor,Streptomycetaceae,Peribacillus loiseleuriae,Bacillaceae
LB10,Caballeronia udeis,Burkholderiaceae,Paenibacillus phytohabitans,Paenibacillaceae
LB10,Comamonas piscis,Comamonadaceae,Streptomyces cyaneus,Streptomycetaceae
LB10,Paraburkholderia susongensis,Burkholderiaceae,Bacillus mycoides,Bacillaceae
LB10,Luteibacter rhizovicinus,Xanthomonadaceae,Bacillus mycoides,Bacillaceae
LB10,Dyella soli,Xanthomonadaceae,Paenibacillus lupini,Paenibacillaceae
LB10,Rahnella victoriana,Enterobacteriaceae,Bacillus mycoides,Bacillaceae
LB10,Paraburkholderia sediminicola,Burkholderiaceae,Bacillus mycoides,Bacillaceae
LB10,Rhodococcus koreensis,Nocardiaceae,Bacillus mycoides,Bacillaceae
LB10,Bacillus mycoides,Bacillaceae,Bacillus mycoides,Bacillaceae
LB10,Rahnella victoriana,Enterobacteriaceae,Bacillus mycoides,Bacillaceae
R2A,Kitasatospora herbaricolor,Streptomycetaceae,Paenibacillus oryzisoli,Paenibacillaceae
R2A,Kitasatospora herbaricolor,Streptomycetaceae,Paenibacillus periandrae,Paenibacillaceae
R2A,Paraburkholderia susongensis,Burkholderiaceae,Paenibacillus silvestris,Paenibacillaceae
R2A,Bacillus mycoides,Bacillaceae,Paenibacillus pectinilyticus,Paenibacillaceae
R2A,Oerskovia enterophila,Promicromonosporaceae,Paenibacillus frigoriresistens,Paenibacillaceae
R2A,Streptomyces huasconensis,Streptomycetaceae,Viridibacillus soli,Paenibacillaceae
R2A,Ewingella americana,Enterobacteriaceae,Bacillus mycoides,Bacillaceae
R2A,Rahnella woolbedingensis,Enterobacteriaceae,Paenibacillus foliorum,Paenibacillaceae
R2A,Dyella soli,Xanthomonadaceae,Psychrobacillus vulpis,Paenibacillaceae
R2A,Dyella soli,Xanthomonadaceae,Peaenibacillus agri,Paenibacillaceae
R2A,Rahnella victoriana,Enterobacteriaceae,Paenibacillus periandrae,Paenibacillaceae
R2A,Dyella soli,Xanthomonadaceae,Bacillus mycoides,Bacillaceae
SEM,Streptomyces brevispora,Streptomycetaceae,Bacillus mycoides,Bacillaceae
SEM,Streptomyces prunicolor,Streptomycetaceae,Paenibacillus tundrae,Paenibacillaceae
SEM,Caballeronia udeis,Burkholderiaceae,Bacillus mycoides,Bacillaceae
SEM,Rahnella victoriana,Enterobacteriaceae,Neobacillus soli,Bacillaceae
SEM,Silvimonas terrae,Burkholderiaceae,Paenibacillus baekrokdamisoli,Paenibacillaceae
SEM,Rahnella victoriana,Enterobacteriaceae,Bacillus mycoides,Bacillaceae
SEM,Rahnella victoriana,Enterobacteriaceae,Bacillus mycoides,Bacillaceae
SEM,,,Paenibacillus panaciterrae,Paenibacillaceae
SEM,Ewingella americana,Enterobacteriaceae,Bacillus mycoides,Bacillaceae
SEM,Dyella soli,Xanthomonadaceae,Paenibacillus ferrarius,Paenibacillaceae
SEM,Dyella tabacisoli,Xanthomonadaceae,Paenibacillus baekrokdamisoli,Paenibacillaceae
SEM,Paraburkholderia caffeinilytica,Burkholderiaceae,Paenibacillus nebraskensis,Paenibacillaceae
